1 , 2 , 0.36 , 0.00 , 0.93 , 0.00 , -0.15 , 0.33 , -0.40 , -0.84 , 90.00 , 21.00 , 0.00 , 523.51 , -0.11 , 8.54 , 75.78 , 39.18 , -3.07 , 3.35 , 0 , -14.22 , 18.18
1 , 2 , 0.27 , 0.00 , 0.96 , 0.00 , 0.27 , 0.03 , 0.96 , -0.11 , 110.00 , 21.00 , 0.00 , 523.51 , -0.11 , 8.53 , 97.22 , 44.35 , -2.72 , 4.53 , 0 , -12.78 , 23.35
1 , 2 , 1.00 , 0.00 , -0.00 , 0.00 , -0.62 , 0.78 , -0.00 , -0.00 , -100.00 , 21.00 , 0.00 , 523.51 , 0.00 , 8.46 , -99.86 , 51.79 , 0.03 , 6.16 , 0 , 0.14 , 30.79
1 , 2 , 0.07 , 0.00 , 1.00 , 0.00 , -0.03 , -0.06 , -0.48 , 0.88 , 150.00 , 21.00 , 0.00 , 523.51 , -0.11 , 8.37 , 145.87 , 51.21 , -0.86 , 6.04 , 0 , -4.13 , 30.21
1 , 2 , -0.00 , 0.71 , -0.00 , 0.71 , 0.00 , 0.71 , -0.00 , 0.71 , 170.00 , 21.00 , 0.00 , 523.51 , 0.00 , 8.53 , 170.01 , 25.59 , 0.00 , 0.00 , 0 , 0.01 , 4.59
1 , 2 , -0.00 , 0.71 , -0.00 , 0.71 , 0.00 , 0.71 , -0.00 , 0.71 , 190.00 , 21.00 , 0.00 , 523.51 , 0.00 , 8.53 , 190.01 , 25.59 , 0.00 , 0.00 , 0 , 0.01 , 4.59
1 , 2 , 0.96 , 0.00 , 0.30 , 0.00 , 0.77 , -0.56 , 0.24 , 0.17 , -40.00 , 21.00 , 0.00 , 523.51 , 0.11 , 8.53 , -26.56 , 42.88 , 2.87 , 4.20 , 0 , 13.44 , 21.88
1 , 2 , 0.88 , 0.00 , 0.48 , 0.00 , 0.28 , 0.83 , 0.15 , -0.46 , -0.00 , 21.00 , 0.00 , 523.51 , 0.10 , 8.39 , 12.67 , 32.59 , 2.79 , 1.78 , 0 , 12.67 , 11.59
1 , 2 , 0.76 , 0.00 , 0.64 , 0.00 , -0.52 , 0.56 , -0.44 , -0.48 , 230.00 , 21.00 , 0.00 , 523.51 , 0.03 , 8.39 , 234.54 , 26.04 , 1.02 , 0.17 , 0 , 4.54 , 5.04
1 , 2 , 0.70 , 0.00 , 0.72 , 0.00 , 0.64 , -0.27 , 0.66 , 0.28 , 15.00 , 21.00 , 0.00 , 523.51 , -0.01 , 8.39 , 14.20 , 25.37 , -0.18 , 0.01 , 0 , -0.80 , 4.37
